group	variants	groupName	groupMembers	variants_alias
1	B.1.1.1.37	C.37	B.1.1.1.37	C.37
2	B.1.1.28.1	P.1	B.1.1.28.1	P.1
3	B.1.1.318.2	AZ.2	B.1.1.318.2	AZ.2
4	B.1.1.529.1	BA.1	B.1.1.529.1	BA.1
5	B.1.1.529.1.1	BA.1.1	B.1.1.529.1.1	BA.1.1
6	B.1.1.529.1.21	BA.1.21	B.1.1.529.1.21	BA.1.21
7	B.1.1.529.2	BA.2	B.1.1.529.2	BA.2
8	B.1.1.529.2.3.20	BA.2.3.20	B.1.1.529.2.3.20	BA.2.3.20
9	B.1.1.529.2.75	BA.2.75	B.1.1.529.2.75	BA.2.75
10	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1
11	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1	DV.7.1	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1	DV.7.1
12	B.1.1.529.2.75.5.1	BN.1	B.1.1.529.2.75.5.1	BN.1
13	B.1.1.529.2.86	BA.2.86	B.1.1.529.2.86	BA.2.86
14	B.1.1.529.2.86.1	BA.2.86.1	B.1.1.529.2.86.1	BA.2.86.1
15	B.1.1.529.2.86.1.1	JN.1	B.1.1.529.2.86.1.1	JN.1
16	B.1.1.529.2.86.1.1.4	JN.1.4	B.1.1.529.2.86.1.1.4	JN.1.4
17	B.1.1.529.2.86.1.2	JN.2	B.1.1.529.2.86.1.2	JN.2
18	B.1.1.529.4	BA.4	B.1.1.529.4	BA.4
19	B.1.1.529.5	BA.5	B.1.1.529.5	BA.5
20	B.1.1.529.5.1	BA.5.1	B.1.1.529.5.1	BA.5.1
21	B.1.1.529.5.2.1.7	BF.7	B.1.1.529.5.2.1.7	BF.7
22	B.1.1.529.5.3.1.1.1.1.1	BQ.1	B.1.1.529.5.3.1.1.1.1.1	BQ.1
23	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
24	B.1.1.7.1	Q.1	B.1.1.7.1	Q.1
25	B.1.160	B.1.160	B.1.160	B.1.160
26	B.1.177	B.1.177	B.1.177	B.1.177
27	B.1.351	B.1.351	B.1.351	B.1.351
28	B.1.525	B.1.525	B.1.525	B.1.525
29	B.1.526	B.1.526	B.1.526	B.1.526
30	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2
31	B.1.617.2.122	AY.122	B.1.617.2.122	AY.122
32	B.1.617.2.4	AY.4	B.1.617.2.4	AY.4
33	B.1.617.2.4.5	AY.4.5	B.1.617.2.4.5	AY.4.5
34	B.1.617.2.43.9	AY.43.9	B.1.617.2.43.9	AY.43.9
35	B.1.621	B.1.621	B.1.621	B.1.621
36	XAY.1	XAY.1	XAY.1	XAY.1
37	XBB	XBB	XBB	XBB
38	XBB.1	XBB.1	XBB.1	XBB.1
39	XBB.1.16	XBB.1.16	XBB.1.16	XBB.1.16
40	XBB.1.18.1.1	FE.1	XBB.1.18.1.1	FE.1
41	XBB.1.5	XBB.1.5	XBB.1.5	XBB.1.5
42	XBB.1.5.102.1	JD.1	XBB.1.5.102.1	JD.1
43	XBB.1.5.70.2	GK.2	XBB.1.5.70.2	GK.2
44	XBB.1.9	XBB.1.9	XBB.1.9	XBB.1.9
45	XBB.1.9.1.1.5	FL.1.5	XBB.1.9.1.1.5	FL.1.5
46	XBB.1.9.2	XBB.1.9.2	XBB.1.9.2	XBB.1.9.2
47	XBB.1.9.2.10	EG.10	XBB.1.9.2.10	EG.10
48	XBB.1.9.2.5	EG.5	XBB.1.9.2.5	EG.5
49	XBB.1.9.2.5.1	EG.5.1	XBB.1.9.2.5.1	EG.5.1
50	XBB.1.9.2.5.1.1.3.2	HK.3.2	XBB.1.9.2.5.1.1.3.2	HK.3.2
51	XBB.1.9.2.5.1.6.1	HV.1	XBB.1.9.2.5.1.6.1	HV.1
52	XBB.2.3.10.1.2.1	GE.1.2.1	XBB.2.3.10.1.2.1	GE.1.2.1
53	XBC.1	XBC.1	XBC.1	XBC.1
